model,seed,k,completion_time_s
iid,54,1,0.02530000000000021
iid,54,2,0.02285000000000014
iid,54,4,0.02245000000000013
iid,54,8,0.021900000000000114
iid,55,1,0.024800000000000197
iid,55,2,0.023350000000000155
iid,55,4,0.022600000000000134
iid,55,8,0.022050000000000118
iid,56,1,0.025150000000000207
iid,56,2,0.024750000000000195
iid,56,4,0.022400000000000128
iid,56,8,0.022000000000000117
iid,57,1,0.02415000000000018
iid,57,2,0.023250000000000152
iid,57,4,0.022200000000000122
iid,57,8,0.02175000000000011
iid,58,1,0.025450000000000216
iid,58,2,0.023250000000000152
iid,58,4,0.02210000000000012
iid,58,8,0.021900000000000114
iid,59,1,0.04350000000000073
iid,59,2,0.02280000000000014
iid,59,4,0.022750000000000138
iid,59,8,0.022600000000000134
iid,60,1,0.0249000000000002
iid,60,2,0.022900000000000142
iid,60,4,0.022700000000000137
iid,60,8,0.022000000000000117
iid,61,1,0.024100000000000177
iid,61,2,0.02280000000000014
iid,61,4,0.022250000000000124
iid,61,8,0.021900000000000114
iid,62,1,0.02415000000000018
iid,62,2,0.02320000000000015
iid,62,4,0.022350000000000127
iid,62,8,0.022200000000000122
iid,63,1,0.024650000000000193
iid,63,2,0.022550000000000132
iid,63,4,0.02215000000000012
iid,63,8,0.021850000000000112
iid,64,1,0.024000000000000174
iid,64,2,0.023050000000000147
iid,64,4,0.022250000000000124
iid,64,8,0.022250000000000124
iid,65,1,0.024800000000000197
iid,65,2,0.032450000000000416
iid,65,4,0.02210000000000012
iid,65,8,0.022000000000000117
iid,66,1,0.04335000000000073
iid,66,2,0.02280000000000014
iid,66,4,0.022000000000000117
iid,66,8,0.02180000000000011
iid,67,1,0.024400000000000185
iid,67,2,0.023300000000000154
iid,67,4,0.02280000000000014
iid,67,8,0.02245000000000013
iid,68,1,0.025050000000000204
iid,68,2,0.024400000000000185
iid,68,4,0.022250000000000124
iid,68,8,0.022250000000000124
iid,69,1,0.0248500000000002
iid,69,2,0.022600000000000134
iid,69,4,0.022250000000000124
iid,69,8,0.021950000000000115
iid,70,1,0.025850000000000227
iid,70,2,0.022550000000000132
iid,70,4,0.022050000000000118
iid,70,8,0.02175000000000011
iid,71,1,0.046400000000000816
iid,71,2,0.023250000000000152
iid,71,4,0.02215000000000012
iid,71,8,0.02215000000000012
iid,72,1,0.025050000000000204
iid,72,2,0.02385000000000017
iid,72,4,0.022200000000000122
iid,72,8,0.022050000000000118
iid,73,1,0.025000000000000203
iid,73,2,0.02385000000000017
iid,73,4,0.02215000000000012
iid,73,8,0.021900000000000114
iid,74,1,0.043950000000000745
iid,74,2,0.022900000000000142
iid,74,4,0.021950000000000115
iid,74,8,0.02215000000000012
iid,75,1,0.04455000000000076
iid,75,2,0.022900000000000142
iid,75,4,0.022300000000000125
iid,75,8,0.02180000000000011
iid,76,1,0.024300000000000183
iid,76,2,0.023750000000000167
iid,76,4,0.022400000000000128
iid,76,8,0.02180000000000011
iid,77,1,0.025800000000000226
iid,77,2,0.022900000000000142
iid,77,4,0.022600000000000134
iid,77,8,0.02210000000000012
iid,78,1,0.04345000000000073
iid,78,2,0.023050000000000147
iid,78,4,0.022250000000000124
iid,78,8,0.021900000000000114
iid,79,1,0.023800000000000168
iid,79,2,0.022900000000000142
iid,79,4,0.023000000000000145
iid,79,8,0.021950000000000115
iid,80,1,0.04350000000000073
iid,80,2,0.022400000000000128
iid,80,4,0.02215000000000012
iid,80,8,0.021900000000000114
iid,81,1,0.025400000000000214
iid,81,2,0.022900000000000142
iid,81,4,0.022400000000000128
iid,81,8,0.021950000000000115
iid,82,1,0.025100000000000205
iid,82,2,0.023600000000000163
iid,82,4,0.022300000000000125
iid,82,8,0.022000000000000117
iid,83,1,0.04410000000000075
iid,83,2,0.023000000000000145
iid,83,4,0.022300000000000125
iid,83,8,0.022000000000000117
iid,84,1,0.046750000000000826
iid,84,2,0.03500000000000049
iid,84,4,0.022350000000000127
iid,84,8,0.022000000000000117
iid,85,1,0.025100000000000205
iid,85,2,0.022700000000000137
iid,85,4,0.021950000000000115
iid,85,8,0.021900000000000114
iid,86,1,0.02635000000000024
iid,86,2,0.025000000000000203
iid,86,4,0.02280000000000014
iid,86,8,0.022000000000000117
iid,87,1,0.02390000000000017
iid,87,2,0.02320000000000015
iid,87,4,0.02245000000000013
iid,87,8,0.022200000000000122
iid,88,1,0.02520000000000021
iid,88,2,0.023000000000000145
iid,88,4,0.02215000000000012
iid,88,8,0.022000000000000117
