model,seed,k,completion_time_s
hot_spot,4,4,0.02985000000000034
hot_spot,4,8,0.02455000000000019
hot_spot,5,1,0.07794999999999958
hot_spot,5,2,0.03925000000000061
hot_spot,5,4,0.03815000000000058
hot_spot,5,8,0.025100000000000205
hot_spot,6,1,0.07919999999999944
hot_spot,6,2,0.05245000000000099
hot_spot,6,4,0.0389000000000006
hot_spot,6,8,0.048450000000000874
hot_spot,7,1,0.021500000000000102
hot_spot,7,2,0.03930000000000061
hot_spot,7,4,0.03930000000000061
hot_spot,7,8,0.04835000000000087
hot_spot,8,1,0.07969999999999938
hot_spot,8,2,0.04000000000000063
hot_spot,8,4,0.04000000000000063
hot_spot,8,8,0.02525000000000021
hot_spot,9,1,0.021500000000000102
hot_spot,9,2,0.021500000000000102
hot_spot,9,4,0.025100000000000205
