fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_os4,64,4,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,228,2
3tier_os4,64,4,4,0.01614999999999995,0.011713547170909092,0.3787454615036603,5729166666.666666,427,3
3tier_os4,64,4,8,0.010749999999999963,0.0067815273094736835,0.5851886322100903,9895833333.333334,763,4
2tier,64,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,91,2
2tier,64,4,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,145,4
2tier,64,4,4,0.009399999999999971,0.007911781861052632,0.1881015130451711,8482142857.142857,200,7
2tier,64,4,8,0.007399999999999983,0.006471868528219179,0.14341012456200053,10369318181.81818,242,11
3tier_nb,16,7,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,28,1
3tier_nb,16,7,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,54,2
3tier_nb,16,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,107,2
3tier_nb,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,198,3
3tier_os2,16,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,28,1
3tier_os2,16,7,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,54,2
3tier_os2,16,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,107,2
3tier_os2,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,198,3
3tier_os4,16,7,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,28,1
3tier_os4,16,7,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,54,2
3tier_os4,16,7,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,107,2
3tier_os4,16,7,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,198,3
2tier,16,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,27,2
2tier,16,7,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,42,3
2tier,16,7,4,0.006749999999999987,0.006316128376470588,0.0686926543712596,10625000000.0,73,5
2tier,16,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,114,7
3tier_nb,64,7,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,106,2
3tier_nb,64,7,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,206,3
3tier_nb,64,7,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,384,3
3tier_nb,64,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,709,4
3tier_os2,64,7,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,106,2
3tier_os2,64,7,2,0.01614999999999995,0.01073741824,0.5040859580039931,6250000000.0,206,3
3tier_os2,64,7,4,0.008099999999999979,0.007158278826666666,0.1315569281578035,9375000000.0,384,3
3tier_os2,64,7,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,709,4
3tier_os4,64,7,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,106,2
3tier_os4,64,7,2,0.03225000000000041,0.02147483648,0.5017576515674782,3125000000.0,206,3
3tier_os4,64,7,4,0.01614999999999995,0.014316557653333332,0.1280644685029948,4687500000.0,384,3
3tier_os4,64,7,8,0.010749999999999963,0.006964811831351352,0.5434731418887719,9635416666.666666,709,4
