pair_id,arm_id,sample_id,family,runner,policy,placement_policy,fabric,ring_size,k,affected_fraction,congestion_model,arrival_rate_fps,frozen_method,legacy_time_s,maxmin_time_s,maxmin_over_legacy,maxmin_delta_pct,campaign_use
a001_equal_3tier_nb_p16_k1__s088,equal_3tier_nb_p16_k1,88,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s089,equal_3tier_nb_p16_k1,89,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s090,equal_3tier_nb_p16_k1,90,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s091,equal_3tier_nb_p16_k1,91,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s092,equal_3tier_nb_p16_k1,92,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s093,equal_3tier_nb_p16_k1,93,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s094,equal_3tier_nb_p16_k1,94,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s095,equal_3tier_nb_p16_k1,95,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s096,equal_3tier_nb_p16_k1,96,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s097,equal_3tier_nb_p16_k1,97,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s098,equal_3tier_nb_p16_k1,98,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s099,equal_3tier_nb_p16_k1,99,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s000,equal_3tier_nb_p16_k2,0,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s001,equal_3tier_nb_p16_k2,1,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s002,equal_3tier_nb_p16_k2,2,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s003,equal_3tier_nb_p16_k2,3,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s004,equal_3tier_nb_p16_k2,4,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s005,equal_3tier_nb_p16_k2,5,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s006,equal_3tier_nb_p16_k2,6,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s007,equal_3tier_nb_p16_k2,7,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s008,equal_3tier_nb_p16_k2,8,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s009,equal_3tier_nb_p16_k2,9,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s010,equal_3tier_nb_p16_k2,10,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s011,equal_3tier_nb_p16_k2,11,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s012,equal_3tier_nb_p16_k2,12,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s013,equal_3tier_nb_p16_k2,13,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s014,equal_3tier_nb_p16_k2,14,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s015,equal_3tier_nb_p16_k2,15,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s016,equal_3tier_nb_p16_k2,16,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s017,equal_3tier_nb_p16_k2,17,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s018,equal_3tier_nb_p16_k2,18,static_split,simple,equal,,3tier_nb,16,2,,,,,0.008099999999999979,0.008099999999999979,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s019,equal_3tier_nb_p16_k2,19,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s020,equal_3tier_nb_p16_k2,20,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s021,equal_3tier_nb_p16_k2,21,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s022,equal_3tier_nb_p16_k2,22,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s023,equal_3tier_nb_p16_k2,23,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s024,equal_3tier_nb_p16_k2,24,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s025,equal_3tier_nb_p16_k2,25,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s026,equal_3tier_nb_p16_k2,26,static_split,simple,equal,,3tier_nb,16,2,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a002_equal_3tier_nb_p16_k2__s027,equal_3tier_nb_p16_k2,27,static_split,simple,equal,,3tier_nb,16,2,,,,,0.008099999999999979,0.008099999999999979,1.0,0.0,paired_n100_revalidation
