fabric,P,seed,k,t_prop
2tier,16,129,2,0.007549999999999982
2tier,16,129,4,0.005399999999999995
2tier,16,129,8,0.005399999999999995
2tier,16,129,16,0.005399999999999995
2tier,16,130,2,0.008999999999999973
2tier,16,130,4,0.005399999999999995
2tier,16,130,8,0.005399999999999995
2tier,16,130,16,0.005399999999999995
2tier,16,131,2,0.007549999999999982
2tier,16,131,4,0.005399999999999995
2tier,16,131,8,0.005399999999999995
2tier,16,131,16,0.005399999999999995
2tier,16,132,2,0.008999999999999973
2tier,16,132,4,0.006949999999999986
2tier,16,132,8,0.005399999999999995
2tier,16,132,16,0.005399999999999995
2tier,16,133,2,0.005399999999999995
2tier,16,133,4,0.005399999999999995
2tier,16,133,8,0.005399999999999995
2tier,16,133,16,0.005399999999999995
2tier,16,134,2,0.007549999999999982
2tier,16,134,4,0.005399999999999995
2tier,16,134,8,0.005399999999999995
2tier,16,134,16,0.005399999999999995
2tier,16,135,2,0.007549999999999982
2tier,16,135,4,0.006349999999999989
2tier,16,135,8,0.005399999999999995
2tier,16,135,16,0.005399999999999995
2tier,16,136,2,0.005399999999999995
2tier,16,136,4,0.005399999999999995
2tier,16,136,8,0.005399999999999995
2tier,16,136,16,0.005399999999999995
2tier,16,137,2,0.007549999999999982
2tier,16,137,4,0.005399999999999995
2tier,16,137,8,0.005399999999999995
2tier,16,137,16,0.005399999999999995
2tier,16,138,2,0.005399999999999995
2tier,16,138,4,0.005399999999999995
2tier,16,138,8,0.005399999999999995
2tier,16,138,16,0.005399999999999995
2tier,16,139,2,0.007549999999999982
2tier,16,139,4,0.005399999999999995
2tier,16,139,8,0.005399999999999995
2tier,16,139,16,0.005399999999999995
2tier,16,140,2,0.005399999999999995
2tier,16,140,4,0.005399999999999995
2tier,16,140,8,0.005399999999999995
2tier,16,140,16,0.005399999999999995
2tier,16,141,2,0.005399999999999995
2tier,16,141,4,0.005399999999999995
2tier,16,141,8,0.005399999999999995
2tier,16,141,16,0.005399999999999995
2tier,16,142,2,0.007549999999999982
2tier,16,142,4,0.005399999999999995
2tier,16,142,8,0.005399999999999995
2tier,16,142,16,0.005399999999999995
2tier,16,143,2,0.005399999999999995
2tier,16,143,4,0.005399999999999995
2tier,16,143,8,0.005399999999999995
2tier,16,143,16,0.005399999999999995
2tier,16,144,2,0.005399999999999995
2tier,16,144,4,0.0059999999999999915
2tier,16,144,8,0.005699999999999993
2tier,16,144,16,0.005399999999999995
2tier,16,145,2,0.005399999999999995
2tier,16,145,4,0.005399999999999995
2tier,16,145,8,0.005399999999999995
2tier,16,145,16,0.005399999999999995
2tier,16,146,2,0.007549999999999982
2tier,16,146,4,0.005399999999999995
2tier,16,146,8,0.005399999999999995
2tier,16,146,16,0.005399999999999995
2tier,16,147,2,0.005399999999999995
2tier,16,147,4,0.005399999999999995
2tier,16,147,8,0.005399999999999995
2tier,16,147,16,0.005399999999999995
2tier,16,148,2,0.007549999999999982
2tier,16,148,4,0.005399999999999995
2tier,16,148,8,0.005399999999999995
2tier,16,148,16,0.005399999999999995
2tier,16,149,2,0.007549999999999982
2tier,16,149,4,0.005399999999999995
2tier,16,149,8,0.005399999999999995
2tier,16,149,16,0.005399999999999995
2tier,16,150,2,0.007549999999999982
2tier,16,150,4,0.005399999999999995
2tier,16,150,8,0.005399999999999995
2tier,16,150,16,0.005399999999999995
2tier,16,151,2,0.005399999999999995
2tier,16,151,4,0.005399999999999995
2tier,16,151,8,0.005399999999999995
2tier,16,151,16,0.005399999999999995
2tier,16,152,2,0.005399999999999995
2tier,16,152,4,0.0059999999999999915
2tier,16,152,8,0.005399999999999995
2tier,16,152,16,0.005399999999999995
2tier,16,153,2,0.005399999999999995
2tier,16,153,4,0.005399999999999995
2tier,16,153,8,0.005399999999999995
2tier,16,153,16,0.005399999999999995
2tier,16,154,2,0.007549999999999982
2tier,16,154,4,0.006349999999999989
2tier,16,154,8,0.005399999999999995
2tier,16,154,16,0.005399999999999995
2tier,16,155,2,0.005399999999999995
2tier,16,155,4,0.005399999999999995
2tier,16,155,8,0.005399999999999995
2tier,16,155,16,0.005399999999999995
2tier,16,156,2,0.005399999999999995
2tier,16,156,4,0.005399999999999995
2tier,16,156,8,0.005399999999999995
2tier,16,156,16,0.005399999999999995
