fabric,P,seed,k,t_prop
3tier_nb,16,8,4,0.005399999999999995
3tier_nb,16,8,8,0.005399999999999995
3tier_nb,16,8,16,0.005399999999999995
3tier_nb,16,8,32,0.005399999999999995
3tier_os2,16,8,2,0.007199999999999984
3tier_os2,16,8,4,0.006399999999999989
3tier_os2,16,8,8,0.005399999999999995
3tier_os2,16,8,16,0.005399999999999995
3tier_os2,16,8,32,0.005399999999999995
3tier_os4,16,8,2,0.014349999999999941
3tier_os4,16,8,4,0.00789999999999998
3tier_os4,16,8,8,0.005849999999999992
3tier_os4,16,8,16,0.005399999999999995
3tier_os4,16,8,32,0.005399999999999995
2tier,16,8,2,0.007549999999999982
2tier,16,8,4,0.005399999999999995
2tier,16,8,8,0.005399999999999995
2tier,16,8,16,0.005399999999999995
2tier,16,8,32,0.005399999999999995
3tier_nb,64,8,2,0.007549999999999982
3tier_nb,64,8,4,0.005399999999999995
3tier_nb,64,8,8,0.005399999999999995
3tier_nb,64,8,16,0.005399999999999995
3tier_nb,64,8,32,0.005399999999999995
3tier_os2,64,8,2,0.010499999999999964
3tier_os2,64,8,4,0.006449999999999989
3tier_os2,64,8,8,0.005699999999999993
3tier_os2,64,8,16,0.005399999999999995
3tier_os2,64,8,32,0.005399999999999995
3tier_os4,64,8,2,0.020900000000000085
3tier_os4,64,8,4,0.010649999999999963
3tier_os4,64,8,8,0.007749999999999981
3tier_os4,64,8,16,0.006099999999999991
3tier_os4,64,8,32,0.0054999999999999945
2tier,64,8,2,0.008999999999999973
2tier,64,8,4,0.007099999999999985
2tier,64,8,8,0.006599999999999988
2tier,64,8,16,0.005949999999999992
2tier,64,8,32,0.005399999999999995
3tier_nb,16,4,2,0.005399999999999995
3tier_nb,16,4,4,0.005399999999999995
3tier_nb,16,4,8,0.005399999999999995
3tier_nb,16,4,16,0.005399999999999995
3tier_nb,16,4,32,0.005399999999999995
3tier_os2,16,4,2,0.007199999999999984
3tier_os2,16,4,4,0.005399999999999995
3tier_os2,16,4,8,0.005399999999999995
3tier_os2,16,4,16,0.005399999999999995
3tier_os2,16,4,32,0.005399999999999995
3tier_os4,16,4,2,0.014349999999999941
3tier_os4,16,4,4,0.007199999999999984
3tier_os4,16,4,8,0.005849999999999992
3tier_os4,16,4,16,0.005399999999999995
3tier_os4,16,4,32,0.005399999999999995
2tier,16,4,2,0.007549999999999982
2tier,16,4,4,0.005399999999999995
2tier,16,4,8,0.005399999999999995
2tier,16,4,16,0.005399999999999995
2tier,16,4,32,0.005399999999999995
3tier_nb,64,4,2,0.005399999999999995
3tier_nb,64,4,4,0.005399999999999995
3tier_nb,64,4,8,0.005399999999999995
3tier_nb,64,4,16,0.005399999999999995
3tier_nb,64,4,32,0.005399999999999995
3tier_os2,64,4,2,0.008999999999999973
3tier_os2,64,4,4,0.005899999999999992
3tier_os2,64,4,8,0.005399999999999995
3tier_os2,64,4,16,0.005399999999999995
3tier_os2,64,4,32,0.005399999999999995
3tier_os4,64,4,2,0.01795
3tier_os4,64,4,4,0.009349999999999971
3tier_os4,64,4,8,0.006749999999999987
3tier_os4,64,4,16,0.005899999999999992
3tier_os4,64,4,32,0.0054999999999999945
2tier,64,4,2,0.009849999999999968
2tier,64,4,4,0.007499999999999982
2tier,64,4,8,0.006349999999999989
2tier,64,4,16,0.005399999999999995
2tier,64,4,32,0.005449999999999995
3tier_nb,16,12,2,0.005399999999999995
3tier_nb,16,12,4,0.005399999999999995
3tier_nb,16,12,8,0.005399999999999995
3tier_nb,16,12,16,0.005399999999999995
3tier_nb,16,12,32,0.005399999999999995
3tier_os2,16,12,2,0.005399999999999995
3tier_os2,16,12,4,0.005399999999999995
3tier_os2,16,12,8,0.005399999999999995
3tier_os2,16,12,16,0.005399999999999995
3tier_os2,16,12,32,0.005399999999999995
3tier_os4,16,12,2,0.010749999999999963
3tier_os4,16,12,4,0.007199999999999984
3tier_os4,16,12,8,0.005849999999999992
3tier_os4,16,12,16,0.005399999999999995
3tier_os4,16,12,32,0.005399999999999995
2tier,16,12,2,0.005399999999999995
2tier,16,12,4,0.005399999999999995
2tier,16,12,8,0.005399999999999995
2tier,16,12,16,0.005399999999999995
