fabric,P,k,seed,condition,flows,lower_bound_violations,strict_flow_fraction,mean_rate_ratio,max_rate_ratio,sum_rate_ratio,placement_digest,capacity_digest,route_digest
3tier_nb,64,2,0,hot_spot,128,0,0.171875,1.107389440489939,1.8882833214646393,1.179662923445933,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5c7fa563057c55cefb32d1b76629882864edf6816f8c089c70ab53824eb1afe1
3tier_nb,64,2,1,none,128,0,0.015625,1.0052083333333333,1.3333333333333335,1.0052910052910053,42fc3d1a36e35ae96fdc889ba4dbfb0015bb19d453abcbd93aa9c15f01b5f4c5,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9dfc4256be34758cba93aec8a548addb799e76ac8ee90a0ad12f99e1aa07da47
3tier_nb,64,2,1,hot_spot,128,0,0.234375,1.1196873717954647,1.8572131557172824,1.191237955087507,42fc3d1a36e35ae96fdc889ba4dbfb0015bb19d453abcbd93aa9c15f01b5f4c5,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9dfc4256be34758cba93aec8a548addb799e76ac8ee90a0ad12f99e1aa07da47
3tier_nb,64,2,2,none,128,0,0.03125,1.0104166666666667,1.3333333333333335,1.0108695652173914,3fa4df2aab9675a00992e2ce7174f31fe16626cae86f92405dd3b8e199b11a97,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d3140801c0f621e8c7e94c8ad5d16bc0faef6e6fc6e600cc917b58414f05206b
3tier_nb,64,2,2,hot_spot,128,0,0.234375,1.1022989111426233,2.3461019224542206,1.151627073974848,3fa4df2aab9675a00992e2ce7174f31fe16626cae86f92405dd3b8e199b11a97,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d3140801c0f621e8c7e94c8ad5d16bc0faef6e6fc6e600cc917b58414f05206b
3tier_nb,64,2,3,none,128,0,0.0078125,1.0026041666666667,1.3333333333333335,1.0026246719160106,226e9f772c7263b0f56a583e4dce815d2ad3f5fb85f07b3e90fbce6eb4d8275c,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,ccbe7ada9357ffef40f9985511a9db70872124dd508ffb8f5e5e02ca50997b8c
3tier_nb,64,2,3,hot_spot,128,0,0.140625,1.0671098523044118,1.8477151174790385,1.1101735409369757,226e9f772c7263b0f56a583e4dce815d2ad3f5fb85f07b3e90fbce6eb4d8275c,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,ccbe7ada9357ffef40f9985511a9db70872124dd508ffb8f5e5e02ca50997b8c
3tier_nb,64,2,4,none,128,0,0.0,1.0,1.0,1.0,c5546007423070a62a9cabdd169eb133e1e5a98bfadec3fd376df938f05c914d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,0f922e136db6e44314fefd47a7a7b4b058ebc3e68ca55d418daac4f0705b945e
3tier_nb,64,2,4,hot_spot,128,0,0.21875,1.0941497714506647,1.9455234177879694,1.1540792596650455,c5546007423070a62a9cabdd169eb133e1e5a98bfadec3fd376df938f05c914d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,0f922e136db6e44314fefd47a7a7b4b058ebc3e68ca55d418daac4f0705b945e
3tier_nb,64,2,5,none,128,0,0.0,1.0,1.0,1.0,7fe954001f677f8902674d5d07c59657feb4c535e73546e5efa0967d16463150,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9c8c419e7c517239b99aa88929fee4a039e62e4e43b24ebffb8931cd27d2e0af
3tier_nb,64,2,5,hot_spot,128,0,0.140625,1.083561068262636,1.8755571638947526,1.1438989923058434,7fe954001f677f8902674d5d07c59657feb4c535e73546e5efa0967d16463150,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9c8c419e7c517239b99aa88929fee4a039e62e4e43b24ebffb8931cd27d2e0af
3tier_nb,64,2,6,none,128,0,0.0078125,1.0026041666666667,1.3333333333333335,1.0026455026455028,be4c0fc6e75a7e7d535b2a3c9a0d53bc36fad4462d4d638dfc822d091a2e8ec4,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,697aebd1337e8888978ba6ff844ffbdf56117370782580fd824d8ea96fe5b6d5
