run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
49,480052014,16,0.1,adaptive,0.031000000000000374,1.75,4
49,480052014,16,0.3,adaptive,0.037650000000000565,2.5,4
49,480052014,16,0.5,adaptive,0.04620000000000081,3.625,4
49,480052014,64,0.0,adaptive,0.02665000000000025,1.171875,2
49,480052014,64,0.1,adaptive,0.039450000000000617,1.859375,4
49,480052014,64,0.3,adaptive,0.048800000000000884,2.921875,4
49,480052014,64,0.5,adaptive,0.06515000000000098,3.796875,4
46,450052011,16,0.0,adaptive,0.021500000000000102,1.0,1
46,450052011,16,0.1,adaptive,0.031000000000000374,1.75,4
46,450052011,16,0.3,adaptive,0.04280000000000071,2.9375,4
46,450052011,16,0.5,adaptive,0.04665000000000082,3.625,4
46,450052011,64,0.0,adaptive,0.02665000000000025,1.171875,2
46,450052011,64,0.1,adaptive,0.0423000000000007,2.015625,4
46,450052011,64,0.3,adaptive,0.04980000000000091,3.28125,4
46,450052011,64,0.5,adaptive,0.06850000000000062,3.671875,4
47,460052012,16,0.0,adaptive,0.021500000000000102,1.0,1
47,460052012,16,0.1,adaptive,0.03495000000000049,2.125,4
47,460052012,16,0.3,adaptive,0.03855000000000059,3.375,4
47,460052012,16,0.5,adaptive,0.0562500000000011,3.6875,4
47,460052012,64,0.0,adaptive,0.030350000000000356,1.1875,3
47,460052012,64,0.1,adaptive,0.03990000000000063,2.234375,4
47,460052012,64,0.3,adaptive,0.04520000000000078,3.15625,4
47,460052012,64,0.5,adaptive,0.06285000000000124,3.734375,4
50,490052015,16,0.0,adaptive,0.02665000000000025,1.125,2
50,490052015,16,0.1,adaptive,0.03575000000000051,2.3125,4
50,490052015,16,0.3,adaptive,0.043950000000000745,3.25,4
50,490052015,16,0.5,adaptive,0.0459500000000008,3.625,4
50,490052015,64,0.0,adaptive,0.02665000000000025,1.234375,2
50,490052015,64,0.1,adaptive,0.04860000000000088,2.25,4
50,490052015,64,0.3,adaptive,0.05840000000000116,3.234375,4
50,490052015,64,0.5,adaptive,0.052950000000001,3.625,4
45,440052010,16,0.0,adaptive,0.02700000000000026,1.125,2
45,440052010,16,0.1,adaptive,0.02980000000000034,1.5,3
45,440052010,16,0.3,adaptive,0.052650000000000995,3.0,4
45,440052010,16,0.5,adaptive,0.048100000000000864,3.75,4
45,440052010,64,0.0,adaptive,0.04200000000000069,1.296875,4
45,440052010,64,0.1,adaptive,0.047450000000000846,1.875,4
45,440052010,64,0.3,adaptive,0.052650000000000995,2.921875,4
45,440052010,64,0.5,adaptive,0.08814999999999845,3.859375,4
51,500052016,16,0.0,adaptive,0.02665000000000025,1.125,2
51,500052016,16,0.1,adaptive,0.04770000000000085,2.25,4
51,500052016,16,0.3,adaptive,0.03980000000000063,2.8125,4
51,500052016,16,0.5,adaptive,0.05665000000000111,3.5625,4
51,500052016,64,0.0,adaptive,0.030350000000000356,1.34375,3
51,500052016,64,0.1,adaptive,0.04770000000000085,2.140625,4
51,500052016,64,0.3,adaptive,0.055150000000001066,3.078125,4
51,500052016,64,0.5,adaptive,0.060650000000001224,3.671875,4
52,510052017,16,0.0,adaptive,0.021500000000000102,1.0,1
52,510052017,16,0.1,adaptive,0.037350000000000556,1.625,4
52,510052017,16,0.3,adaptive,0.03580000000000051,3.4375,4
52,510052017,16,0.5,adaptive,0.051600000000000965,3.625,4
52,510052017,64,0.0,adaptive,0.02665000000000025,1.140625,2
52,510052017,64,0.1,adaptive,0.05845000000000116,1.84375,4
52,510052017,64,0.3,adaptive,0.04995000000000092,3.140625,4
52,510052017,64,0.5,adaptive,0.06995000000000046,3.734375,4
55,540052020,16,0.0,adaptive,0.021500000000000102,1.0,1
55,540052020,16,0.1,adaptive,0.03285000000000043,1.4375,4
55,540052020,16,0.3,adaptive,0.0424000000000007,3.125,4
55,540052020,16,0.5,adaptive,0.05240000000000099,3.3125,4
55,540052020,64,0.0,adaptive,0.03250000000000042,1.3125,4
55,540052020,64,0.1,adaptive,0.05315000000000101,2.0625,4
55,540052020,64,0.3,adaptive,0.05695000000000112,3.109375,4
55,540052020,64,0.5,adaptive,0.05915000000000118,3.6875,4
53,520052018,16,0.0,adaptive,0.021500000000000102,1.0,1
53,520052018,16,0.1,adaptive,0.0355000000000005,1.75,4
53,520052018,16,0.3,adaptive,0.04625000000000081,2.6875,4
53,520052018,16,0.5,adaptive,0.05565000000000108,3.625,4
53,520052018,64,0.0,adaptive,0.03150000000000039,1.3125,3
